,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2017/04,1,4,0,27,10,6,17,33,10,19,49,38,5,11,9,5,17,4,12,12,3,7,13,38,4,15,36,22,26,33,22,23,32,8,17,15,49,58,9,11,13,11,11,13,20,8,23,46,27,1,0,10,33,0,0,9,7,26,19,28,22,55,5,0,34,13,23,40,42,5,1,41,0,0,44,1,7,58,0,0,54,0,47,10,0,13,10,8,26,34,24,9,20,22,9,14,37,47,51,49,26,24,10,22,20,0
2017/05,2,11,0,34,25,10,22,64,12,35,48,32,6,6,7,2,28,11,7,13,6,6,26,30,7,11,23,27,38,40,26,12,29,19,22,11,43,58,8,11,14,6,13,21,27,20,27,43,33,2,0,14,43,0,0,10,12,21,20,35,22,51,4,0,46,19,20,56,33,5,2,50,0,0,37,0,7,51,0,0,51,0,62,8,0,14,11,10,16,39,19,12,25,16,10,16,59,56,52,53,35,20,20,20,25,0
2017/06,1,7,0,39,17,11,24,56,7,26,51,37,13,12,4,7,20,8,12,10,6,13,30,37,6,16,51,27,39,43,24,15,37,18,27,25,47,50,5,17,8,9,7,15,23,14,27,49,28,2,0,8,44,0,0,15,10,18,15,32,31,53,2,0,60,13,17,46,38,3,0,26,0,0,43,3,9,53,0,0,61,0,42,12,0,16,9,8,19,34,20,12,20,11,11,14,42,44,53,36,37,15,13,18,17,0
2017/07,1,3,0,36,14,10,25,20,10,12,38,36,7,8,12,2,25,12,13,7,3,10,19,33,11,28,41,21,39,23,20,15,28,11,16,17,38,69,10,15,13,12,12,17,27,21,35,55,46,0,0,12,30,0,0,8,19,20,20,26,25,54,3,1,44,17,15,36,34,6,0,34,0,0,44,3,5,60,0,0,65,0,38,12,0,18,18,4,18,26,23,12,17,20,14,14,46,58,51,54,24,25,15,24,21,0
2017/08,2,3,0,35,15,13,23,26,17,9,47,25,6,14,5,6,26,20,11,6,9,13,22,43,8,19,37,16,25,32,17,19,26,17,22,16,59,56,8,19,10,9,14,16,28,28,26,48,20,1,0,12,28,0,0,13,14,23,26,30,15,64,5,0,48,16,11,50,36,5,0,38,0,0,36,0,7,62,0,0,72,0,44,10,0,20,13,8,18,21,32,9,26,16,15,10,44,38,46,40,30,21,25,7,37,0
2017/09,4,1,0,56,11,14,19,22,16,13,51,31,6,19,9,2,34,6,12,12,6,11,22,33,18,40,44,13,20,24,21,16,23,13,23,15,39,51,4,24,5,9,17,11,21,20,20,56,28,0,1,10,30,0,0,12,10,14,13,18,21,43,3,0,41,17,12,45,36,4,0,32,0,0,26,1,8,48,0,0,52,0,32,6,0,14,8,6,23,23,33,12,18,33,7,8,41,34,40,42,21,32,18,16,20,0
2017/10,3,4,0,34,13,6,21,28,16,13,51,21,8,18,11,7,19,15,18,14,5,13,25,37,14,19,35,33,45,33,18,14,33,18,22,21,38,52,4,18,8,14,14,22,22,17,39,42,29,1,1,9,26,0,0,12,9,13,14,27,14,35,1,0,34,10,14,30,26,2,2,41,0,0,33,1,3,47,0,0,69,0,60,14,0,18,14,5,17,35,16,8,14,11,11,7,45,49,50,34,27,24,20,10,16,0
2017/11,3,6,0,37,12,10,25,32,22,22,56,33,7,22,14,14,33,11,16,15,9,18,22,43,22,21,57,29,46,26,20,32,31,21,26,20,56,69,5,9,8,13,19,17,21,13,28,61,36,3,1,16,55,0,0,22,15,17,18,29,14,59,0,0,41,14,21,44,42,5,1,60,0,0,43,1,7,55,0,0,66,0,67,7,0,17,15,10,18,38,29,5,15,27,18,17,66,59,62,48,30,29,9,16,23,0
2017/12,1,9,0,25,18,3,20,40,17,26,72,30,8,16,9,14,29,15,12,7,7,14,21,57,15,27,48,24,43,31,22,14,33,11,23,16,44,64,11,15,8,15,13,17,23,19,33,65,34,2,0,17,44,0,0,12,10,22,18,29,28,59,2,0,63,22,17,58,56,1,1,47,0,0,38,1,8,61,0,0,57,0,53,9,0,18,18,10,21,38,23,14,20,11,10,8,46,60,66,43,33,37,17,17,23,0
2018/01,1,1,0,46,10,4,26,29,17,17,43,28,6,11,6,6,16,9,7,9,6,9,18,44,7,16,34,19,54,36,23,8,19,19,9,15,48,57,5,17,11,11,9,11,20,16,26,46,15,1,0,8,24,0,0,6,6,18,19,12,15,46,1,0,41,13,16,26,25,4,0,15,0,0,37,0,6,50,0,0,58,0,67,9,0,15,10,13,16,32,14,12,14,8,10,6,40,53,41,30,28,20,14,9,24,0
2018/02,4,2,0,28,7,7,15,22,16,17,32,13,7,6,8,7,11,7,12,10,1,17,12,27,3,19,36,23,30,18,13,11,19,13,12,12,36,47,5,7,5,5,9,14,15,12,34,39,17,1,0,7,29,0,0,4,7,9,6,7,12,40,4,0,22,6,11,32,25,2,2,13,0,0,27,0,5,34,0,0,57,0,25,5,0,9,10,9,10,14,9,7,9,10,13,2,30,29,46,24,19,23,15,5,17,0
